Company Name,number_of_employees,company_description,revenue_growth_percentage,industry,lead_converted,revenue_amount_aed,founded_year
Aimbo,61,"Aimbo specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",6.85,Manufacturing,False,21665143,1967
Flipbug,57,"Flipbug is a leader in the Healthcare field, offering state-of-the-art solutions for medical services and patient care.",62.27,Healthcare,True,12387485,1915
Dynava,10,Dynava is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,96.86,Education,True,12889951,1968
Wikido,79,"Wikido provides reliable Transportation solutions, ensuring the safe and efficient movement of goods and people.",93.0,Transportation,False,38308107,1976
Wordware,91,"Wordware is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",41.38,Hospitality,True,26212130,1903
Mydo,41,"Mydo specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",59.69,Manufacturing,True,21471440,2020
Photojam,71,"Photojam provides a wide range of financial services, helping businesses and individuals achieve their financial goals.",2.12,Finance,True,35128884,1935
Tambee,44,Tambee is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,9.2,Education,True,9120197,1943
Buzzbean,65,"Buzzbean provides a wide range of financial services, helping businesses and individuals achieve their financial goals.",2.57,Finance,True,12829379,1995
Topicblab,24,Topicblab is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,7.16,Education,True,20128598,1910
Demizz,13,"Demizz offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",65.58,Technology,False,25174260,1936
Eare,20,"Eare offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",10.23,Retail,False,19251830,2014
Tagtune,14,Tagtune is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,17.14,Education,True,43435669,1977
Zoomzone,75,"Zoomzone offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",57.38,Retail,False,10740129,1943
Blogtag,17,Blogtag is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,41.22,Education,False,23376972,1989
Kwilith,71,"Kwilith provides reliable Transportation solutions, ensuring the safe and efficient movement of goods and people.",88.03,Transportation,True,9765220,2003
Buzzster,73,"Buzzster is a leader in the Healthcare field, offering state-of-the-art solutions for medical services and patient care.",76.32,Healthcare,True,40729418,1993
Feednation,44,"Feednation is a leader in the Healthcare field, offering state-of-the-art solutions for medical services and patient care.",6.68,Healthcare,True,24709725,1996
Wordify,21,"Wordify offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",43.37,Technology,False,10958759,1950
Layo,91,Layo is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,76.71,Education,False,46400333,1912
Topiclounge,91,"Topiclounge specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",36.57,Manufacturing,True,30852389,1967
Tazzy,70,"Tazzy is a leader in the Healthcare field, offering state-of-the-art solutions for medical services and patient care.",79.0,Healthcare,True,37618452,1924
Zazio,62,"Zazio provides reliable Transportation solutions, ensuring the safe and efficient movement of goods and people.",12.71,Transportation,False,17455485,1930
Dabtype,38,"Dabtype specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",84.44,Manufacturing,True,41377469,1993
